frequency,gain_sch
1047.1285,35.778842
1071.5193,35.869267
1096.4782,35.957416
1122.0185,36.043302
1148.1536,36.126938
1174.8976,36.208342
1202.2644,36.287534
1230.2688,36.364533
1258.9254,36.439364
1288.2496,36.512051
1318.2567,36.582621
1348.9629,36.651102
1380.3843,36.717525
1412.5375,36.781921
1445.4398,36.844323
1479.1084,36.904765
1513.5612,36.963283
1548.8166,37.019913
1584.8932,37.074693
1621.8101,37.12766
1659.5869,37.178853
1698.2437,37.228312
1737.8008,37.276077
1778.2794,37.322188
1819.7009,37.366685
1862.0871,37.409609
1905.4607,37.451002
1949.8446,37.490903
1995.2623,37.529353
2041.7379,37.566394
2089.2961,37.602064
2137.9621,37.636405
2187.7616,37.669456
2238.7211,37.701256
2290.8677,37.731843
2344.2288,37.761257
2398.8329,37.789534
2454.7089,37.816711
2511.8864,37.842824
2570.3958,37.86791
2630.268,37.892003
2691.5348,37.915136
2754.2287,37.937345
2818.3829,37.95866
2884.0315,37.979114
2951.2092,37.998738
3019.9517,38.017561
3090.2954,38.035614
3162.2777,38.052925
3235.9366,38.069521
3311.3112,38.08543
3388.4416,38.100678
3467.3685,38.115289
3548.1339,38.129289
3630.7805,38.142701
3715.3523,38.155548
3801.894,38.167852
3890.4514,38.179635
3981.0717,38.190918
4073.8028,38.20172
4168.6938,38.212062
4265.7952,38.221961
4365.1583,38.231435
4466.8359,38.240503
4570.8819,38.24918
4677.3514,38.257483
4786.3009,38.265427
4897.7882,38.273027
5011.8723,38.280297
5128.6138,38.287252
5248.0746,38.293904
5370.318,38.300266
5495.4087,38.30635
5623.4133,38.312169
5754.3994,38.317733
5888.4366,38.323053
6025.5959,38.32814
6165.95,38.333003
6309.5734,38.337653
6456.5423,38.342098
6606.9345,38.346347
6760.8298,38.350409
6918.3097,38.354292
7079.4578,38.358003
7244.3596,38.36155
7413.1024,38.36494
7585.7758,38.36818
7762.4712,38.371276
7943.2823,38.374235
8128.3052,38.377063
8317.6377,38.379766
8511.3804,38.382348
8709.6359,38.384815
8912.5094,38.387173
9120.1084,38.389426
9332.543,38.391578
9549.9259,38.393635
9772.3722,38.3956
10000,38.397477
10232.93,38.399271
10471.285,38.400984
10715.193,38.402621
10964.782,38.404185
11220.185,38.405679
11481.536,38.407107
11748.976,38.40847
12022.644,38.409773
12302.688,38.411017
12589.254,38.412206
12882.496,38.413341
13182.567,38.414426
13489.629,38.415462
13803.843,38.416452
14125.375,38.417397
14454.398,38.4183
14791.084,38.419162
15135.612,38.419986
15488.166,38.420773
15848.932,38.421525
16218.101,38.422242
16595.869,38.422928
16982.437,38.423583
17378.008,38.424209
17782.794,38.424806
18197.009,38.425377
18620.871,38.425922
19054.607,38.426442
19498.446,38.42694
19952.623,38.427414
20417.379,38.427868
20892.961,38.428301
21379.621,38.428715
21877.616,38.42911
22387.211,38.429487
22908.677,38.429848
23442.288,38.430192
23988.329,38.430521
24547.089,38.430835
25118.864,38.431135
25703.958,38.431421
26302.68,38.431694
26915.348,38.431956
27542.287,38.432205
28183.829,38.432443
28840.315,38.432671
29512.092,38.432888
30199.517,38.433096
30902.954,38.433294
31622.777,38.433483
32359.366,38.433664
33113.112,38.433836
33884.416,38.434001
34673.685,38.434158
35481.339,38.434309
36307.805,38.434452
37153.523,38.434589
38018.94,38.43472
38904.514,38.434845
39810.717,38.434965
40738.028,38.435079
41686.938,38.435187
42657.952,38.435291
43651.583,38.435391
44668.359,38.435485
45708.819,38.435576
46773.514,38.435662
47863.009,38.435745
48977.882,38.435823
50118.723,38.435899
51286.138,38.43597
52480.746,38.436039
53703.18,38.436104
54954.087,38.436167
56234.133,38.436226
57543.994,38.436283
58884.366,38.436338
60255.959,38.436389
61659.5,38.436439
63095.734,38.436486
64565.423,38.436531
66069.345,38.436574
67608.298,38.436615
69183.097,38.436654
70794.578,38.436692
72443.596,38.436727
74131.024,38.436761
